iter	RMSE
0	0.04599596659
1	0.04168400543
2	0.03791614659
3	0.03471354399
4	0.03196496093
5	0.02967554322
6	0.02771805757
7	0.02605989556
8	0.02470991793
9	0.02358088268
10	0.02266015862
11	0.021909385
12	0.02130839082
13	0.02081409413
14	0.0204087952
15	0.0200941207
16	0.01983590664
17	0.01962453071
18	0.01945770659
19	0.01932628224
20	0.019218275
21	0.01913127021
22	0.01906314983
23	0.01900567066
24	0.01895569911
25	0.01891434961
26	0.01887962946
27	0.01885224211
28	0.0188228329
29	0.01880344502
30	0.01878800673
31	0.01877086481
32	0.01875991947
33	0.01874926315
34	0.01873663146
35	0.01872606383
36	0.01871698609
37	0.01870948141
38	0.01870383618
39	0.01869833274
40	0.01869236004
41	0.01868768809
42	0.0186825551
43	0.01867767342
44	0.01867385256
45	0.01866925879
46	0.01866273786
47	0.01865943773
48	0.01865683735
49	0.01865335102
50	0.01864952394
51	0.01864716863
52	0.0186423443
53	0.01863976164
54	0.01863824662
55	0.01863644998
56	0.01863463806
57	0.01863346397
58	0.01863061876
59	0.01862883828
60	0.01862617051
61	0.01862317952
62	0.01862137189
63	0.0186175828
64	0.01861563749
65	0.01861238579
66	0.01861027036
67	0.01860858881
68	0.0186064765
69	0.01860380943
70	0.0186009807
71	0.01859816938
72	0.01859746838
73	0.01859459582
74	0.01859259706
75	0.0185910662
76	0.01858897169
77	0.01858773726
78	0.01858623532
79	0.0185851345
80	0.01858280704
81	0.01858179826
82	0.0185792937
83	0.01857739462
84	0.01857542205
85	0.01857474364
86	0.01857424446
87	0.01857198663
88	0.01856932076
89	0.01856857117
90	0.01856691441
91	0.01856541636
92	0.01856324044
93	0.01856150344
94	0.01856071029
95	0.01855880877
96	0.01855803386
97	0.01855761331
98	0.01855685061
99	0.01855578704
100	0.0185548834
101	0.01855416833
102	0.01855248882
103	0.01855122318
104	0.01855004377
105	0.01854908799
106	0.01854834578
107	0.01854674532
108	0.0185464758
109	0.01854545994
110	0.01854416268
111	0.01854342393
112	0.01854138959
113	0.01854081884
114	0.01854014083
115	0.01853882266
116	0.01853680067
117	0.01853583158
118	0.01853509097
119	0.01853411169
120	0.0185332891
121	0.01853253489
122	0.01853113818
123	0.01853063637
124	0.01852977078
125	0.01852915334
126	0.01852848014
127	0.01852791704
128	0.01852732489
129	0.01852699323
130	0.01852639341
131	0.01852598124
132	0.01852524733
133	0.01852418484
134	0.01852367793
135	0.01852250633
136	0.01852163967
137	0.01852097829
138	0.01851952418
139	0.01851897147
140	0.0185184046
141	0.01851818611
142	0.01851757679
143	0.01851667158
144	0.01851514075
145	0.01851458369
146	0.01851423039
147	0.01851380721
148	0.01851339444
149	0.01851267691
150	0.01851152616
151	0.01851088415
152	0.01850982557
153	0.01850799889
154	0.01850727981
155	0.01850715472
156	0.01850675939
157	0.0185052129
158	0.01850461241
159	0.01850417848
160	0.01850380386
161	0.01850245604
162	0.01850216446
163	0.01850183446
164	0.01850059802
165	0.01849993194
166	0.01849878612
167	0.0184982079
168	0.01849731298
169	0.01849640932
170	0.01849575057
171	0.01849514167
172	0.01849437102
173	0.01849414889
174	0.01849351955
175	0.01849284143
176	0.01849238096
177	0.01849196361
178	0.01849148758
179	0.01849080838
180	0.01848994492
181	0.01848928054
182	0.01848787073
183	0.01848744667
184	0.01848669117
185	0.01848646322
186	0.01848612812
187	0.01848548078
188	0.01848505829
189	0.01848460214
190	0.01848424676
191	0.01848381933
192	0.01848333281
193	0.01848243173
194	0.01848180412
195	0.01848120242
196	0.01848094521
197	0.01848059872
198	0.01847987619
199	0.01847963118
200	0.01847887728
201	0.01847869276
202	0.01847806147
203	0.01847746207
204	0.01847723478
205	0.01847711584
206	0.01847688352
207	0.01847630855
208	0.01847616654
209	0.01847567927
210	0.01847549321
211	0.01847510944
212	0.018474678
213	0.01847451284
214	0.01847417568
215	0.01847399789
216	0.01847377265
217	0.01847363145
218	0.01847336794
219	0.01847259399
220	0.01847219074
221	0.01847189859
222	0.0184716991
223	0.01847116209
224	0.01847075201
225	0.0184702074
226	0.01847009127
227	0.01846960615
